property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,Chimney,Modular Kitchen,Microwave,AC,Geyser,Bed,Light,Dining Table,Stove,Sofa,Water Purifier,Fridge,Curtains,Exhaust Fan,TV,Wardrobe,Fan,Washing Machine,furnishing_type,luxury_score
house,independent,sector 28,8.4,34568.0,2432.64,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2430.0,,0,1,1,1,0,0,1,0,4,0,0,10,0,0,0,0,0,1,1,0,4,5,0,1,139
house,international city by sobha phase 1,sector 109,6.1,25103.0,2432.64,Plot area 270(225.75 sq.m.),5,6,3+,2.0,,Moderately old,,2430.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
house,kothi,sector 17,6.95,15444.0,4499.31,Plot area 500(418.06 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),4,4,3+,2.0,,Old Property,,3500.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
house,independent,sector 43,8.49,31444.0,2701.74,Plot area 300(250.84 sq.m.),3,3,2,4.0,North,Relatively New,,2700.0,,0,1,0,1,0,3,0,0,3,3,0,0,0,0,0,0,0,0,1,0,6,6,0,1,21
house,international city by sobha phase 1,sector 109,5.75,16428.0,269.1,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,2,3.0,South-East,Relatively New,,4800.0,3500.0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
flat,raheja atlantis,sector 31,5.5,18688.0,2943.1,Super Built up area 2943(273.41 sq.m.),4,5,3+,1.0,North,Relatively New,2943.0,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81
house,tata primanti,sector 72,8.5,13492.0,6296.88,Plot area 6300(585.29 sq.m.),5,6,3+,10.0,East,Relatively New,,6300.0,,1,1,1,1,0,1,1,0,8,6,0,0,0,1,0,1,0,0,1,0,0,0,0,1,145
house,unitech palms south city 1,sector 41,9.35,28858.0,3239.93,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3+,4.0,North-East,Moderately old,,7500.0,6000.0,1,1,0,0,0,1,1,0,5,0,0,10,0,0,0,0,0,0,0,0,0,6,0,1,70
house,independent,sector 26,18.0,39841.0,4520.84,Plot area 502(419.74 sq.m.),5,4,3+,4.0,North,Moderately old,,4518.0,,1,1,1,1,0,1,0,1,4,3,0,10,0,0,0,0,0,1,1,0,4,6,0,1,113
house,project housing board colony,sector 31,8.0,63492.0,1259.38,Built Up area: 140 (117.06 sq.m.),2,1,0,1.0,,Undefined,,140.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
house,unitech uniworld resorts,sector 33,9.55,19293.0,4951.39,Plot area 550(459.87 sq.m.),6,7,3+,2.0,East,Relatively New,,4950.0,,1,1,1,1,0,0,0,0,0,0,0,24,0,0,0,0,0,1,1,0,6,0,0,1,126
house,independent,sector 45,16.0,35000.0,4499.31,Plot area 500(418.06 sq.m.),6,7,3+,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,0,1,0,0,8,0,20,0,0,0,0,0,1,1,0,10,15,0,1,105
house,international city by sobha phase 1,sector 109,6.0,24691.0,2432.64,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2430.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
house,independent,sector 25,11.0,35530.0,3100.0,Plot area 344(287.63 sq.m.),5,5,3+,2.0,,Relatively New,,3096.0,,1,1,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,29
flat,central park resorts,sector 48,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,,Relatively New,,,6700.0,0,0,0,0,0,1,1,1,7,0,0,0,0,1,0,0,1,0,0,0,6,0,1,2,45
house,independent,sector 50,12.5,40611.0,3078.48,Plot area 342(285.96 sq.m.),6,5,3,4.0,East,Moderately old,,3078.0,,1,1,0,1,0,1,1,0,11,5,0,1,0,1,0,1,1,1,1,0,0,16,0,1,23
house,unitech escape,sector 50,12.0,37037.0,3239.93,Carpet area: 360 (301.01 sq.m.),5,6,3+,3.0,East,Undefined,,,360.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66
house,independent,sector 1,10.0,122222.0,904.17,Plot area 900(83.61 sq.m.),4,4,3+,1.0,North-East,Undefined,,900.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
flat,mm golfestate,sector 65,5.9,17484.0,3374.5,Super Built up area 3363(312.43 sq.m.),3,3,3,18.0,North,Relatively New,3363.0,,,0,0,0,0,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,76
house,independent,sector 25,6.6,36667.0,1797.57,Plot area 200(167.23 sq.m.),6,7,3+,2.0,East,Moderately old,,1800.0,,1,1,0,0,0,1,1,0,0,7,0,41,0,0,0,0,0,0,1,0,7,9,0,1,119
house,independent,sector 56,11.5,42032.0,2734.03,Plot area 304(254.18 sq.m.),12,13,3+,4.0,West,Relatively New,,2736.0,,1,1,0,1,0,1,1,0,0,5,0,5,0,1,0,0,0,0,1,0,5,9,0,1,49
house,eldeco mansionz,sector 48,6.0,22222.0,2701.74,Plot area 300(250.84 sq.m.),4,4,3+,2.0,East,Moderately old,,2700.0,,0,1,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,4,6,0,0,69
house,unitech uniworld resorts,sector 33,9.5,173992.0,548.96,Plot area 546(50.73 sq.m.),6,6,3+,3.0,North-East,Moderately old,,546.0,,0,0,0,0,0,1,1,0,6,7,0,48,0,0,0,0,0,0,1,0,6,14,0,1,40
house,independent,sector 25,6.5,36111.0,1797.57,Plot area 200(167.23 sq.m.),4,4,3+,2.0,North-East,Moderately old,,1800.0,,1,1,1,1,0,1,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,61
house,ansals florence villa,sector 57,6.0,22222.0,2701.74,Plot area 300(250.84 sq.m.),4,5,2,2.0,,Old Property,,2700.0,,0,1,0,1,0,1,1,0,0,6,0,23,0,0,0,1,0,0,1,0,6,9,0,1,20
house,independent,sector 14,6.4,20317.0,3153.82,Plot area 350(292.64 sq.m.)Built Up area: 349 sq.yards (291.81 sq.m.)Carpet area: 348 sq.yards (290.97 sq.m.),6,6,3+,3.0,North,Old Property,,349.0,348.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
house,independent,sector 27,8.0,26298.0,3046.18,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Relatively New,,3042.0,,1,1,1,1,0,1,1,1,9,9,9,9,1,1,1,1,1,1,1,0,9,9,1,2,110
house,international city by sobha phase 2,sector 109,9.5,26389.0,3595.14,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
house,ss aaron ville,sector 49,6.75,15000.0,4499.31,Built Up area: 4500 (418.06 sq.m.),5,4,2,2.0,North,New Property,,4500.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
house,experion windchants,sector 112,9.5,23457.0,4047.23,Plot area 450(376.26 sq.m.)Built Up area: 7450 sq.yards (6229.15 sq.m.),5,5,3,2.0,,Relatively New,,7450.0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
house,independent,sector 82,7.5,23148.0,3239.93,Plot area 360(301.01 sq.m.),5,5,3+,2.0,East,Relatively New,,3240.0,,0,1,0,1,0,1,1,0,8,4,0,25,0,0,0,1,0,1,1,0,5,12,0,1,135
house,ansals palam vihar,sector 2,9.0,19231.0,4682.3,Plot area 520(434.79 sq.m.),5,5,2,2.0,North,Old Property,,4680.0,,1,1,1,1,0,1,1,0,5,5,0,5,0,1,0,1,1,1,1,0,5,4,1,2,110
house,independent,sector 26,15.0,33333.0,4499.31,Built Up area: 4500 (418.06 sq.m.),4,4,3,3.0,,Moderately old,,4500.0,,0,1,1,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,1,0,0,5,0,1,36
house,independent,sector 26,13.5,29880.0,4520.84,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,0,1,1,1,1,1,5,6,0,12,0,1,0,0,1,6,1,0,5,6,1,2,49
house,independent,sector 43,7.5,38760.0,1937.5,Plot area 215(179.77 sq.m.),12,12,3+,4.0,East,New Property,,1935.0,,1,1,1,1,0,1,1,1,0,12,0,12,0,1,0,0,0,0,1,0,12,12,0,1,72
house,independent,sector 43,13.5,50000.0,2701.74,Plot area 300(250.84 sq.m.),16,16,3+,4.0,North-West,Relatively New,,2700.0,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
flat,mm golfestate,sector 65,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,23.0,,Moderately old,3363.0,,2710.0,0,0,0,0,0,1,1,0,6,5,0,15,0,1,0,0,0,1,1,0,4,5,0,1,60
house,independent,sector 25,8.0,8000.0,9999.66,Carpet area: 10000 (929.03 sq.m.),3,9,2,3.0,,New Property,,,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,ansal api esencia,sector 67,5.46,24170.0,2260.42,Plot area 251(209.87 sq.m.),4,5,3+,2.0,East,Relatively New,,2259.0,,1,0,1,1,0,1,1,0,5,4,0,16,0,1,0,0,0,1,1,0,5,8,0,1,103
house,emaar mgf marbella,sector 66,12.0,38095.0,3153.82,Plot area 350(292.64 sq.m.),5,6,3+,3.0,North-East,Relatively New,,3150.0,,0,1,1,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,153
house,unitech nirvana birch court,sector 50,6.8,31481.0,2163.54,Plot area 240(200.67 sq.m.),4,4,3+,2.0,South-East,Old Property,,2160.0,,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,105
house,international city by sobha phase 2,sector 109,7.0,12963.0,5403.48,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,,5400.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
house,independent,sector 26,18.9,41833.0,4520.84,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,1,1,0,7,8,0,30,0,1,0,0,0,0,1,0,7,8,0,1,120
house,international city by sobha phase 2,sector 109,6.2,25514.0,2432.64,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively New,,2430.0,,0,1,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
house,independent,sector 26,5.6,30556.0,1797.57,Plot area 200(167.23 sq.m.),4,3,3+,3.0,South-West,Moderately old,,1800.0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,33
house,independent,sector 26,15.0,33200.0,4520.84,Plot area 502(419.74 sq.m.),5,6,3+,3.0,North,Moderately old,,4518.0,,1,1,1,1,0,1,1,0,6,6,0,60,0,0,0,0,0,0,1,0,5,9,0,1,78
house,international city by sobha phase 1,sector 109,5.5,21605.0,2432.64,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,,2430.0,,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,61
house,dlf city plots,sector 26,13.5,29880.0,4520.84,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately old,,4518.0,,1,1,0,0,1,1,1,0,0,5,0,14,0,0,0,0,0,0,1,0,6,5,0,1,104
house,dlf city plots phase 2,sector 25,6.5,36111.0,1797.57,Plot area 200(167.23 sq.m.),5,5,3+,3.0,East,Old Property,,1800.0,,1,1,1,1,0,1,0,0,5,6,0,30,0,1,0,1,0,0,1,0,0,12,0,1,134
house,independent,sector 26,5.8,12837.0,4520.84,Plot area 502(419.74 sq.m.),4,4,3+,4.0,,Old Property,,4518.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
house,dlf city plots phase 2,sector 25,10.5,261194.0,398.26,Plot area 402(37.35 sq.m.),4,4,2,2.0,East,Old Property,,402.0,,0,1,0,1,0,1,1,0,0,4,0,22,0,0,0,0,0,0,1,0,4,7,0,1,91
house,independent,sector 46,6.5,27461.0,2368.06,Plot area 263(219.9 sq.m.),12,12,3+,4.0,North-West,Relatively New,,2367.0,,1,0,0,1,0,1,1,0,0,0,0,22,0,1,0,1,1,0,1,0,0,10,0,1,32
house,vipul tatvam villa,sector 48,22.0,26667.0,8998.62,Plot area 1000(836.13 sq.m.),5,6,3,3.0,,Moderately old,,9000.0,,0,1,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,5,6,0,0,54
house,independent,sector 40,9.5,40135.0,2368.06,Plot area 263(219.9 sq.m.),12,12,3+,4.0,,New Property,,2367.0,,0,0,1,0,0,1,1,1,0,5,0,0,0,1,0,1,0,0,1,0,5,0,0,1,57
house,international city by sobha phase 1,sector 109,12.0,20000.0,7997.58,Plot area 8000(743.22 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3,2.0,North-East,Relatively New,,7000.0,6000.0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,5,10,0,1,154
house,dlf city plots phase 2,sector 25,10.0,400000.0,247.57,Plot area 250(23.23 sq.m.),12,12,3+,4.0,North,Relatively New,,250.0,,1,1,0,0,0,4,1,0,20,12,0,80,0,1,0,0,0,0,1,0,12,24,0,1,114
house,dlf city phase 1,sector 26,5.5,30556.0,1797.57,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Moderately old,,1800.0,,0,0,1,1,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,3,5,0,0,49
house,independent,sector 28,10.5,32407.0,3239.93,Plot area 360(301.01 sq.m.),5,6,3+,3.0,,New Property,,3240.0,,1,1,0,1,0,1,0,1,10,10,0,41,0,0,0,1,0,0,1,0,1,12,0,1,153
house,independent,sector 26,7.0,39265.0,1786.81,Plot area 1782.72(165.62 sq.m.),5,5,2,3.0,North-East,Relatively New,,1782.72,,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9
house,independent,sector 50,13.2,27155.0,4865.28,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,unitech deerwood chase,sector 50,15.0,33333.0,4499.31,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Moderately old,,4500.0,,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,160
house,independent,sector 17,9.5,23457.0,4520.84,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 450 sq.yards (376.26 sq.m.),8,8,3,3.0,West,Relatively New,,500.0,450.0,1,0,0,0,0,2,1,0,8,8,0,12,0,0,0,0,0,0,1,0,8,12,0,1,27
house,independent,sector 41,7.0,28283.0,2475.7,Plot area 275(229.94 sq.m.),7,7,3+,3.0,South-West,Moderately old,,2475.0,,1,1,1,1,0,1,1,1,0,7,7,14,1,1,1,1,1,1,1,7,7,10,1,2,151
flat,pioneer urban presidia,sector 62,6.5,14987.0,4337.1,Super Built up area 4337(402.92 sq.m.),4,4,3+,3.0,West,Moderately old,4337.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
house,independent,sector 25,9.9,29333.0,3379.86,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderately old,,3375.0,,0,0,0,1,0,1,0,0,0,5,0,15,0,0,0,0,0,0,1,0,5,6,0,1,106
house,independent,sector 50,10.56,32593.0,3239.93,Plot area 360(301.01 sq.m.),5,5,3,3.0,,Moderately old,,3240.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
house,vipul tatvam villa,sector 48,18.5,26428.0,6996.54,Plot area 7000(650.32 sq.m.),4,4,1,1.0,,Moderately old,,7000.0,,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,30
flat,vipul belmonte,sector 53,6.0,24489.0,2450.1,Super Built up area 2450(227.61 sq.m.),3,4,3+,6.0,North-West,Moderately old,2450.0,,,0,0,0,0,0,1,1,1,5,4,0,20,0,0,0,0,0,0,1,0,3,8,0,1,26
flat,mm golfestate,sector 65,7.0,18181.0,3850.2,Carpet area: 3850 (357.68 sq.m.),3,3,2,12.0,North,Moderately old,,,3850.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,60
house,international city by sobha phase 2,sector 109,9.4,26111.0,3595.14,Plot area 400(334.45 sq.m.),5,6,3+,2.0,North-East,Relatively New,,3600.0,,1,1,1,1,0,0,0,0,12,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,147
house,dlf the arbour,sector 63,8.5,21519.0,3950.35,Built Up area: 3950 (366.97 sq.m.),4,4,3+,27.0,,Undefined,,3950.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,61
house,the laburnum,sector 43,11.0,27160.0,4047.23,Plot area 450(376.26 sq.m.)Built Up area: 360 sq.yards (301.01 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),5,6,3+,3.0,East,New Property,,360.0,350.0,0,1,0,1,0,1,1,1,6,4,0,26,0,1,0,0,0,0,1,0,6,7,0,1,160
house,luxury dlf city floors,sector 26,20.0,48889.0,4499.31,Plot area 500(418.06 sq.m.),16,16,3+,4.0,,New Property,,4500.0,,0,1,0,0,0,1,1,0,16,16,0,32,0,0,0,0,0,0,1,0,16,26,0,1,31
house,nul,sector 25,6.25,34722.0,1797.57,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately old,,1800.0,,0,1,0,1,0,1,1,0,0,5,0,16,0,0,0,0,0,0,1,0,5,8,0,1,112
house,ireo victory valley,sector 67,8.0,22222.0,3595.14,Plot area 400(334.45 sq.m.),6,7,3+,3.0,North-East,Moderately old,,3600.0,,1,1,1,1,0,1,1,0,9,5,0,20,0,1,0,1,0,1,1,0,6,0,0,1,151
house,independent,sector 57,6.95,38611.0,1732.99,Plot area 192(160.54 sq.m.),12,12,3+,4.0,East,New Property,,1728.0,,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,73
house,suncity essel towers,sector 28,6.0,22222.0,2701.74,Plot area 300(250.84 sq.m.),4,4,3+,3.0,East,Old Property,,2700.0,,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,5,10,0,1,89
house,independent,sector 24,10.0,229885.0,430.56,Carpet area: 435 (40.41 sq.m.),8,10,3+,1.0,West,Undefined,,,435.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
house,dlf city plots phase 2,sector 25,7.5,31686.0,1937.5,Plot area 215(179.77 sq.m.),9,9,3+,4.0,West,Relatively New,,1935.0,,1,1,0,1,0,1,1,0,10,5,0,50,0,1,0,0,0,0,1,0,4,20,0,1,160
house,independent,sector 43,5.5,28424.0,1937.5,Plot area 215(179.77 sq.m.),1,1,0,1.0,South-West,Old Property,,1935.0,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
house,anamika enclave,sector 12,6.0,14492.0,4144.1,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9,9,3+,3.0,North-West,Old Property,,9000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
flat,dlf the belaire,sector 54,7.0,23333.0,3000.0,Super Built up area 3000(278.71 sq.m.),4,6,3+,12.0,East,Moderately old,3000.0,,,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,1,0,6,7,0,1,108
house,nul,sector 28,12.5,51440.0,2432.64,Plot area 270(225.75 sq.m.),16,17,3+,4.0,South,Relatively New,,2430.0,,1,1,0,1,1,4,1,4,16,16,0,30,0,1,0,0,0,2,1,0,16,20,0,2,137
house,independent,sector 45,17.0,37777.0,4499.31,Plot area 4500(418.06 sq.m.),5,8,3+,3.0,North-East,Relatively New,,4500.0,,1,1,1,1,0,1,1,1,11,7,5,15,1,1,1,1,1,1,1,9,13,11,1,2,152
house,independent,sector 38,8.0,230547.0,344.44,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3+,1.0,North,Undefined,,347.0,215.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
house,independent,sector 57,8.0,266666.0,301.39,Plot area 300(27.87 sq.m.),5,4,3,2.0,North,Relatively New,,300.0,,1,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
house,independent,sector 17,8.5,18814.0,4520.84,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 400 sq.yards (334.45 sq.m.),4,4,2,2.0,West,Old Property,,500.0,400.0,1,1,0,1,0,0,1,0,0,5,0,10,0,0,0,0,0,0,1,0,4,10,1,1,21
house,independent,sector 41,11.0,33951.0,3239.93,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,5,9,0,0,35
flat,the penthouses at the hibiscus,sector 50,8.0,8888.0,9000.9,Carpet area: 9000 (836.13 sq.m.),4,3,3,7.0,South-East,Moderately old,,,9000.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,35
flat,experion windchants,sector 112,6.5,10416.0,6240.4,Built Up area: 4800 (445.93 sq.m.),4,5,3,11.0,South,Relatively New,,4800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
