property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score
flat,paras quartier,sector 59,5.9,11028.0,5350.0,Built Up area: 5350 (497.03 sq.m.),4,4,3+,0.0,,Moderately old,,5350.0,,0,0,0,0,0,0,63
house,sector 15 part 2 rwa,sector 15,10.0,22222.0,4520.84,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Old Property,,4518.0,,0,0,0,0,0,0,49
flat,.,sector 59,7.0,11000.0,6363.6,Super Built up area 6000(557.42 sq.m.),4,4,3+,6.0,South-West,Relatively New,6000.0,,,0,0,0,0,0,0,52
flat,pioneer araya,sector 62,9.14,19488.0,4690.1,Super Built up area 4690(435.72 sq.m.)Carpet area: 3258 sq.ft. (302.68 sq.m.),4,6,3,16.0,East,Relatively New,4690.0,,3258.0,0,0,0,0,0,2,146
house,international city by sobha phase 1,sector 109,6.0,24691.0,2432.64,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,Relatively New,,2430.0,,0,1,0,0,0,2,96
house,independent,sector 26,13.5,29880.0,4520.84,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,0,1,1,1,49
house,independent,sector 14,5.5,16975.0,3239.93,Plot area 360(301.01 sq.m.)Built Up area: 355 sq.yards (296.83 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5,4,2,2.0,East,Old Property,,355.0,300.0,1,0,0,0,0,0,27
house,dlf city plots phase 2,sector 25,7.5,31686.0,1937.5,Plot area 215(179.77 sq.m.),9,9,3+,4.0,West,Relatively New,,1935.0,,1,1,0,1,0,2,160
house,emaar the palm springs,sector 54,14.0,62222.0,2249.66,Plot area 250(209.03 sq.m.),4,5,3+,2.0,North,Old Property,,2250.0,,1,1,0,0,0,2,160
house,independent,sector 57,6.25,2778.0,27900.03,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9,9,3+,3.0,North-East,New Property,,2660.0,2500.0,0,1,0,0,0,2,61
house,international city by sobha phase 1,sector 109,6.0,9634.0,6232.3,Plot area 692(578.6 sq.m.),4,5,3,2.0,North-East,Moderately old,,6228.0,,0,0,0,0,0,0,76
house,independent,sector 25,9.9,29333.0,3379.86,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderately old,,3375.0,,0,0,0,1,0,2,106
house,international city by sobha phase 1,sector 109,5.5,21605.0,2432.64,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,,2430.0,,0,1,0,0,0,0,61
house,dlf city plots phase 2,sector 25,6.5,33592.0,1937.5,Plot area 215(179.77 sq.m.),9,9,3+,3.0,West,Old Property,,1935.0,,1,1,1,1,0,2,142
house,aindependentt raj estates,sector 63,8.5,27139.0,3132.29,Plot area 348(290.97 sq.m.),6,6,3+,3.0,East,Under Construction,,3132.0,,0,0,1,1,0,0,29
house,independent,sector 28,11.0,33951.0,3239.93,Plot area 360(301.01 sq.m.),13,13,3+,3.0,East,Relatively New,,3240.0,,1,1,0,1,0,1,122
flat,dlf the arbour,sector 63,7.8,19747.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,6.0,,Undefined,,3950.0,,0,0,0,0,0,0,61
house,independent,sector 57,8.31,24171.0,3433.68,Plot area 382(319.4 sq.m.),5,6,3+,4.0,North-East,Old Property,,3438.0,,1,1,1,1,0,0,34
flat,dlf the arbour,sector 63,7.52,19000.0,3957.9,Built Up area: 3956 (367.52 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3,15.0,West,Undefined,,3956.0,2200.0,0,0,0,0,0,0,61
house,unitech espace,sector 50,9.8,30247.0,3239.93,Plot area 360(301.01 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 280 sq.yards (234.12 sq.m.),4,4,3,2.0,North-West,Moderately old,,300.0,280.0,0,1,0,0,0,0,22
flat,bptp freedom park life,sector 57,5.5,8982.0,6123.4,Built Up area: 5010 (465.44 sq.m.),5,6,3+,19.0,East,Moderately old,,5010.0,,0,0,0,0,0,2,153
flat,la lagune,sector 54,6.75,21360.0,3160.1,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),4,6,3+,11.0,East,Moderately old,3160.0,2455.0,2240.0,0,0,0,0,0,2,119
house,ireo victory valley,sector 67,8.0,22222.0,3595.14,Plot area 400(334.45 sq.m.),6,7,3+,51.0,North-East,Moderately old,,3600.0,,1,1,0,1,0,2,49
house,nul,sector 25,6.25,34722.0,1797.57,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately old,,1800.0,,0,1,0,1,0,2,112
house,independent,sector 26,23.0,25556.0,8998.62,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,South-West,Relatively New,,9000.0,,1,1,1,1,0,2,145
house,international city by sobha phase 2,sector 109,7.0,12963.0,5403.48,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,,5400.0,,0,1,0,0,0,0,154
house,independent,sector 56,8.0,9654.0,365.97,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),10,10,3+,4.0,,Relatively New,,8286.0,,1,1,0,1,0,1,107
house,independent,sector 43,5.5,2716.0,1937.5,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3+,3.0,East,Moderately old,,2850.0,2250.0,1,1,0,1,1,2,123
house,independent,sector 39,7.0,10000.0,355.21,Plot area 350(32.52 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),10,11,3+,4.0,South-East,Relatively New,,7000.0,,0,0,0,1,0,2,38
flat,dlf the grove,sector 43,6.0,25000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1.0,South-West,Undefined,,,2400.0,0,0,0,0,0,2,49
house,independent,sector 46,6.81,36911.0,1840.63,Plot area 205(171.41 sq.m.),12,14,3+,1.0,East,New Property,,1845.0,,0,1,0,0,1,2,40
house,independent,sector 48,8.4,25926.0,3239.93,Plot area 360(301.01 sq.m.),4,4,3,2.0,,Old Property,,3240.0,,0,1,0,1,0,2,15
house,vipul tatvam villa,sector 48,8.4,21000.0,4004.17,Plot area 4000(371.61 sq.m.),4,5,3+,2.0,North,Moderately old,,4000.0,,1,1,0,1,0,2,49
flat,central park resorts,sector 48,11.25,28266.0,3980.0,Carpet area: 3980 (369.75 sq.m.),4,5,3+,2.0,North-West,Relatively New,,,3980.0,0,0,0,0,0,0,45
house,ardee city,sector 52,5.5,183333.0,301.39,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately old,,300.0,,0,1,0,1,1,2,26
house,independent,sector 26,5.8,32222.0,1797.57,Plot area 200(167.23 sq.m.),5,5,3+,2.0,North,Old Property,,1800.0,,1,1,1,1,0,0,53
house,independent,sector 56,11.95,43534.0,2744.79,Plot area 305(255.02 sq.m.),12,12,3+,4.0,West,Relatively New,,2745.0,,0,1,0,0,0,2,21
house,unitech espace,sector 50,7.35,41762.0,2163.54,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately old,,2160.0,,0,1,0,1,0,2,52
house,dlf city plots,sector 26,12.5,38580.0,3239.93,Plot area 360(301.01 sq.m.),4,5,2,2.0,North-East,Moderately old,,3240.0,,1,1,0,0,0,2,121
house,dlf city plots,sector 26,17.3,38734.0,4520.84,Plot area 502(419.74 sq.m.),6,7,3+,3.0,North,New Property,,4518.0,,1,1,1,1,0,2,124
flat,mm golfestate,sector 65,13.2,12000.0,11000.0,Carpet area: 11000 (1021.93 sq.m.),4,4,3,13.0,North,Moderately old,,,11000.0,0,0,0,0,0,0,60
house,international city by sobha phase 2,sector 109,6.8,12593.0,5403.48,Plot area 600(501.68 sq.m.),4,5,3,2.0,North-West,Relatively New,,5400.0,,0,1,0,0,0,0,49
house,independent,sector 25,6.6,36667.0,1797.57,Plot area 200(167.23 sq.m.),6,7,3+,2.0,East,Moderately old,,1800.0,,1,1,0,0,0,2,119
house,vipul tatvam villa,sector 48,19.5,22222.0,8772.58,Plot area 975(815.22 sq.m.),5,6,3,2.0,North,Moderately old,,8775.0,,1,1,1,1,0,2,110
house,independent,sector 26,8.1,35294.0,2292.71,Plot area 255(213.21 sq.m.),5,5,2,4.0,East,Old Property,,2295.0,,0,0,0,0,0,0,42
flat,dlf the belaire,sector 54,10.0,24557.0,4072.2,Super Built up area 4072(378.3 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,5,3+,17.0,North,Moderately old,4072.0,3000.0,2800.0,0,0,0,0,0,1,167
house,emaar mgf marbella,sector 66,11.0,33951.0,3239.93,Plot area 360(301.01 sq.m.),5,6,3+,2.0,North-East,New Property,,3240.0,,1,1,1,1,0,2,153
house,unitech escape,sector 50,10.8,60000.0,2604.86,Plot area 290(242.48 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,4,3,2.0,North,Relatively New,,250.0,200.0,1,1,1,1,0,2,103
flat,suncity platinum towers,sector 28,6.0,22346.0,2685.0,Carpet area: 2685 (249.44 sq.m.),3,3,2,8.0,South-East,Moderately old,,,2685.0,0,0,0,0,0,0,31
house,vipul tatvam villa,sector 48,8.5,26235.0,3239.93,Plot area 360(301.01 sq.m.),4,4,2,1.0,East,Moderately old,,3240.0,,0,1,1,1,0,0,88
house,independent,sector 26,5.8,12837.0,4520.84,Plot area 502(419.74 sq.m.),4,4,3+,4.0,,Old Property,,4518.0,,0,0,0,0,0,0,38
house,dlf city plots,sector 26,17.0,37627.0,4520.84,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,2,87
flat,ambience caitriona,sector 24,14.0,200000.0,700.0,Built Up area: 700 (65.03 sq.m.),4,5,3,3.0,East,Undefined,,700.0,,0,0,0,0,0,0,0
house,independent,sector 24,11.0,28898.0,3810.42,Plot area 3806.45(353.63 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.),8,11,3+,3.0,East,Old Property,,5000.0,,1,1,0,1,1,2,39
house,independent,sector 26,17.0,37627.0,4520.84,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,2,124
house,independent,sector 50,6.5,21667.0,3003.13,Built Up area: 3000 (278.71 sq.m.),5,6,0,1.0,,Undefined,,3000.0,,0,0,0,0,0,0,0
house,independent,sector 26,6.75,27778.0,2432.64,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,Moderately old,,2430.0,,0,0,0,0,0,0,27
house,experion windchants,sector 112,7.99,12519.0,6382.99,Built Up area: 6382 (592.91 sq.m.),4,6,3,2.0,South-East,New Property,,6382.0,,0,1,1,1,0,2,129
house,international city by sobha phase 2,sector 109,5.65,10463.0,5403.48,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,0,1,0,0,1,2,44
house,unitech espace,sector 50,7.45,34491.0,2163.54,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,,Old Property,,4500.0,4000.0,0,1,0,0,0,2,59
house,independent,sector 26,9.0,33333.0,2701.74,Plot area 300(250.84 sq.m.),5,5,2,3.0,South-West,Old Property,,2700.0,,1,1,1,1,0,1,110
flat,central park resorts,sector 48,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderately old,3931.0,3831.0,3731.0,0,0,0,0,0,2,67
flat,vipul belmonte,sector 53,6.5,21922.0,2965.1,Super Built up area 2965(275.46 sq.m.),3,4,3+,0.0,,Old Property,2965.0,,,0,0,0,0,0,0,72
house,independent,sector 43,9.85,29638.0,3767.36,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Old Property,,3762.0,,1,1,0,1,0,0,21
house,unitech nirvana birch court,sector 50,7.1,283333.0,236.81,Plot area 240(22.3 sq.m.),3,3,3,1.0,East,Moderately old,,240.0,,0,1,0,0,0,0,49
house,international city by sobha phase 2,sector 109,6.2,25514.0,2432.64,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively New,,2430.0,,0,1,0,0,0,0,135
house,independent,sector 39,15.0,33333.0,4499.31,Plot area 500(418.06 sq.m.),5,5,3+,4.0,,Moderately old,,4500.0,,0,1,0,0,0,2,27
house,dlf city plots phase 2,sector 25,10.0,400000.0,247.57,Plot area 250(23.23 sq.m.),12,12,3+,4.0,North,Relatively New,,250.0,,1,1,0,0,0,2,114
house,independent,sector 43,9.5,42222.0,2723.27,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,2.0,North-East,Relatively New,,300.0,250.0,0,1,0,1,0,2,88
flat,tata primanti,sector 72,6.5,15294.0,4250.0,Super Built up area 4250(394.84 sq.m.),4,4,3+,0.0,East,Relatively New,4250.0,,,0,0,0,0,0,0,67
flat,mm golfestate,sector 65,6.15,15998.0,3844.2,Carpet area: 3844 (357.12 sq.m.),3,5,3+,1.0,West,Relatively New,,,3844.0,0,0,0,0,0,1,49
house,dlf city plots,sector 26,18.0,39841.0,4520.84,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,0,1,0,1,1,2,49
flat,central park resorts,sector 48,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,,Relatively New,,,6700.0,0,0,0,0,0,1,45
flat,central park resort belgravia residences,sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5.0,South-East,Moderately old,,,2880.0,0,0,0,0,0,2,49
house,independent,sector 26,6.0,33333.0,1797.57,Plot area 200(167.23 sq.m.),8,5,3+,3.0,,Old Property,,1800.0,,0,0,0,0,0,2,9
flat,lagoon apartment,sector 24,6.0,13636.0,4400.1,Carpet area: 4400 (408.77 sq.m.),4,6,3+,7.0,,Moderately old,,,4400.0,0,0,0,0,0,0,0
house,ss aaron ville,sector 49,6.5,18808.0,3455.21,Plot area 384(321.07 sq.m.),5,5,2,2.0,North-East,Relatively New,,3456.0,,1,1,0,1,0,2,28
flat,dlf the crest,sector 54,11.0,35222.0,3123.0,Super Built up area 3123(290.14 sq.m.),4,6,3,7.0,,Relatively New,3123.0,,,0,0,0,0,0,1,125
house,independent,sector 41,11.0,33951.0,3239.93,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,0,35
house,dlf city plots phase 2,sector 25,15.5,34307.0,4520.84,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately old,,4518.0,,1,1,1,1,0,0,144
house,independent,sector 56,11.5,42032.0,2734.03,Plot area 304(254.18 sq.m.),12,13,3+,4.0,West,Relatively New,,2736.0,,1,1,0,1,0,2,49
house,emaar mgf marbella,sector 66,9.0,21251.0,5607.99,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4,4,3+,1.0,South-West,Relatively New,,5200.0,4235.0,0,1,1,1,0,2,114
flat,experion windchants,sector 112,5.49,11584.0,4739.3,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,4739.0,3655.35,,0,0,0,0,0,2,168
house,independent,sector 45,16.0,35000.0,4499.31,Plot area 500(418.06 sq.m.),6,7,3+,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,2,105
house,independent,sector 46,5.5,23061.0,2389.59,Plot area 265(221.57 sq.m.),8,8,3+,3.0,,Moderately old,,2385.0,,1,0,0,0,1,2,32
flat,suncity platinum towers,sector 28,7.0,22222.0,3150.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4,3,2,10.0,North,Moderately old,3150.0,,1913.0,0,0,0,0,0,0,31
house,unitech deerwood chase,sector 50,8.45,235376.0,355.21,Plot area 359(33.35 sq.m.),3,3,2,2.0,North-East,Old Property,,359.0,,1,1,0,0,0,2,102
flat,conscient elevate,sector 59,6.75,19882.0,3395.0,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4,4,2,10.0,,New Property,3395.0,,1855.0,0,0,0,0,0,0,31
house,emaar mgf marbella,sector 66,8.8,41615.0,2400.35,Built Up area: 267 (223.25 sq.m.),4,4,3+,3.0,South-East,Relatively New,,267.0,,0,1,1,1,0,0,107
house,international city by sobha phase 2,sector 109,6.25,10035.0,6232.3,Plot area 692(578.6 sq.m.),5,7,3+,3.0,North-East,Relatively New,,6228.0,,1,1,1,1,0,0,147
house,independent,sector 56,7.5,23148.0,3239.93,Plot area 360(301.01 sq.m.),8,8,3+,3.0,North-East,Relatively New,,3240.0,,1,1,0,1,0,1,42
house,tata primanti,sector 72,8.6,12285.0,6996.54,Built Up area: 7000 (650.32 sq.m.),4,5,3+,3.0,,Relatively New,,7000.0,,0,0,0,0,0,2,30
flat,mm golfestate,sector 65,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,23.0,,Moderately old,3363.0,,2710.0,0,0,0,0,0,2,60
house,vipul tatvam villa,sector 48,8.5,26235.0,3239.93,Plot area 360(301.01 sq.m.),4,6,3,3.0,North,Old Property,,3240.0,,0,1,0,1,1,0,49
house,dlf city plots phase 2,sector 25,10.75,29861.0,3595.14,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,Old Property,,3600.0,,0,1,1,1,0,0,73
house,international city by sobha phase 2,sector 109,9.5,26389.0,3595.14,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,133
house,international city by sobha phase 1,sector 109,6.15,27333.0,2432.64,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,3.0,West,Relatively New,,270.0,250.0,0,1,1,1,0,2,130
house,independent,sector 31,9.25,39530.0,2389.59,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3+,4.0,North-East,New Property,,262.0,260.0,0,1,0,1,1,1,49
house,sector 14 rwa,sector 14,6.5,26000.0,2497.22,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderately old,,2500.0,,0,0,0,0,0,0,0
house,dlf city plots phase 2,sector 25,6.3,35000.0,1797.57,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,0,1,1,0,0,0,89
house,sector 14 rwa,sector 14,6.5,20635.0,3153.82,Plot area 350(292.64 sq.m.),4,4,3+,2.0,,Moderately old,,3150.0,,0,0,0,0,0,0,0
house,manohar nagar,sector 11,5.6,12444.0,4499.31,Plot area 500(418.06 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.),34,34,3+,4.0,,New Property,,500.0,,0,0,0,0,0,2,0
house,independent,sector 43,7.5,38760.0,1937.5,Plot area 215(179.77 sq.m.),12,12,3+,4.0,East,New Property,,1935.0,,1,1,1,1,0,2,72
house,vipul tatvam villa,sector 48,6.4,24691.0,2594.1,Plot area 288(240.8 sq.m.)Built Up area: 240 sq.yards (200.67 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),3,4,3,2.0,North,Relatively New,,240.0,200.0,1,1,1,0,0,2,148
flat,ambience creacions,sector 22,6.16,20533.0,3000.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,,,3000.0,0,0,0,0,0,2,49
